Maori,English,Category,Definition,Level
hamama,to shout,Actions,To call out loudly.,3
haramai (haere mai),come,Actions,To move towards someone.,2
hari,to carry,Actions,To move an object from one place to another.,5
hiki,to raise,Actions,To lift something up.,8
hikoi,to walk,Actions,To move from one place to another by moving one's feet slowly.,4
hoe,to row,Actions,To move through water in a boat with oars,3
hokohoko,to shop,Actions,To buy things.,9
hopu,to catch,Actions,To take hold of something that is moving.,9
horoi,to clean,Actions,To remove dirt.,6
kake,to climb,Actions,To go move upwards.,10
kanikani,dance,Actions,To move to music.,3
kata,to laugh,Actions,To make sounds expressing amusement / joy.,4
kauhoe,to swim,Actions,To move through water using ones arms and legs.,1
kaukau,to bathe,Actions,To get clean using water.,7
kite,to see,Actions,To take in information using ones eyes.,7
korero,to speak,Actions,To say something,1
korerorero,to discuss,Actions,To take turns talking about a topic.,9
kukume,to pull,Actions,To drag something towards oneself,5
makere,to fall,Actions,To land on the ground after being higher up (often painful).,5
mataki ,to watch,Actions,To observe something.,3
mihi,to greet,Actions,To say hello / good bye.,7
moe,to marry,Actions,To commit to be with someone else with the purpose of starting a family.,3
moe ,to sleep,Actions,To rest (dreaming may be involved),6
moemoea ,to dream,Actions,To see images / experience something that is not really happening (when sleeping).,3
noho,to sit,Actions,Opposite of standing.  Often done on a chair but sometimes done on the floor.,10
noho,to live,Actions,Opposite of being dead.,10
noho,to stay,Actions,To remain in one place.,3
nuku,to move,Actions,To go from one place to another.,9
oho,to wake up,Actions,To stop sleeping.,4
panui,to read ,Actions,To interpret the meaning of written words.,5
patu ,to kill,Actions,To take a life.,10
rere,to sail,Actions,To travel on water (boats are involved).,1
rere,to fly,Actions,To travel through the air (requires wings / aircraft).,8
rere,to escape,Actions,To get away from a person / place.,10
rere,to flow,Actions,To move smoothly (often involves water / liquid).,5
ruku,to dive,Actions,To enter water from a height.,9
takaro,to play,Actions,To be involved in a game.,6
tuku,to allow,actions,To let something happen.,1
tuku,to send,actions,To make something go somewhere.,4
waiata,to sing,actions,To make musical sounds,10
heihei,chicken,Animals,Bird that tastes good when roasted.,10
hipi,sheep,Animals,Animal that provides wool.,2
hoiho,horse,Animals,Animal that can be ridden / raced.,4
huruhuru,feather,Animals,Covering of birds.,2
ika,fish,Animals,"Animal that lives in water, has fins and scales.",3
kararehe,animal,Animals,Living thing that is not a plant.,8
kau,cow,Animals,Animal that gives milk and goes 'moo'.,3
kawhe,calf,Animals,Baby cow.,5
kiore,rat,Animals,Pest that eats just about anything.,7
kiwi,kiwi,Animals,Native bird with long beak (cannot fly).,9
kotuku,white heron,Animals,Native bird with white feathers and long graceful neck (not to be confused with swans).,1
kuri,dog,Animals,Animal which can be trained to 'fetch'.,9
manu,bird,Animals,Animal with feathers and wings (can usually fly).,9
mokai,pet,Animals,Animal which is cared for by humans.,8
moko,lizard,Animals,"Animal with four legs, a long body and very small scales.",2
ngarara,reptile,Animals,"Animals which lay leathery eggs eg: turtles, crocodiles and lizards.",4
ngata,snail,Animals,Slimy garden pest which has a shell.,1
ngeru,cat,Animals,"Furry pet which eats mice, birds and cat food.",4
noke,worm,Animals,Long animal without legs.  Often soft and squishy.,5
pea,bear,Animals,Large animal with claws and teeth.   Not native to New Zealand.,6
pi,bee,Animals,Yellow and black insect which makes honey,9
poaka,pig,Animals,Animal that we use to get bacon / pork.,10
poraka,frog,Animals,"Animal found in rivers streams, can live both in water and on land.",10
pungawerewere,spider,Animals,Animal that makes webs to catch food.,5
purerehua,butterfly,Animals,Animal that has beautiful wings and comes out of a crysalis.,1
rango,fly,Animals,Annoying pest that often feeds on rotten food (and other gross substances).,6
tohora,whale,Animals,Large mammal that lives in the ocean (not to be confused with fish).,9
toroa,albatross,Animals,Large bird that lives near the sea.,3
tukutuku,spider web,Animals,Trap made by spiders,5
tuna,eel,Animals,Long slimy fish (can be good to eat).,9
hu,shoe,Clothing,Covering that is worn on one's feet.,7
kahu,cloak,Clothing,Pending,5
kakahu,garment,Clothing,Pending,4
